0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,labels
-301.52502,121.76153,-16.96721,34.848858,-29.333492,-9.350427,0.9685835,-26.473158,-15.321555,-16.339497,-9.759779,-2.7868478,-10.02342,3.5591295,-8.4958935,-5.06278,-2.098699,-11.932622,2.0613682,-0.78984886,0.8568298,6.2276216,6.0995207,2.7311978,5.2099886,6.7589364,9.2220745,11.641827,12.375208,9.819635,5.3688226,3.8347428,0.13340095,0.90615934,-1.9436013,-1.194576,-1.4698724,-1.6455123,-2.035589,-0.08515342,Hate
-301.52502,121.76153,-16.96721,34.848858,-29.333492,-9.350427,0.9685835,-26.473158,-15.321555,-16.339497,-9.759779,-2.7868478,-10.02342,3.5591295,-8.4958935,-5.06278,-2.098699,-11.932622,2.0613682,-0.78984886,0.8568298,6.2276216,6.0995207,2.7311978,5.2099886,6.7589364,9.2220745,11.641827,12.375208,9.819635,5.3688226,3.8347428,0.13340095,0.90615934,-1.9436013,-1.194576,-1.4698724,-1.6455123,-2.035589,-0.08515342,Hate
-301.52502,121.76153,-16.96721,34.848858,-29.333492,-9.350427,0.9685835,-26.473158,-15.321555,-16.339497,-9.759779,-2.7868478,-10.02342,3.5591295,-8.4958935,-5.06278,-2.098699,-11.932622,2.0613682,-0.78984886,0.8568298,6.2276216,6.0995207,2.7311978,5.2099886,6.7589364,9.2220745,11.641827,12.375208,9.819635,5.3688226,3.8347428,0.13340095,0.90615934,-1.9436013,-1.194576,-1.4698724,-1.6455123,-2.035589,-0.08515342,Hate
-301.52502,121.76153,-16.96721,34.848858,-29.333492,-9.350427,0.9685835,-26.473158,-15.321555,-16.339497,-9.759779,-2.7868478,-10.02342,3.5591295,-8.4958935,-5.06278,-2.098699,-11.932622,2.0613682,-0.78984886,0.8568298,6.2276216,6.0995207,2.7311978,5.2099886,6.7589364,9.2220745,11.641827,12.375208,9.819635,5.3688226,3.8347428,0.13340095,0.90615934,-1.9436013,-1.194576,-1.4698724,-1.6455123,-2.035589,-0.08515342,Hate
-301.52502,121.76153,-16.96721,34.848858,-29.333492,-9.350427,0.9685835,-26.473158,-15.321555,-16.339497,-9.759779,-2.7868478,-10.02342,3.5591295,-8.4958935,-5.06278,-2.098699,-11.932622,2.0613682,-0.78984886,0.8568298,6.2276216,6.0995207,2.7311978,5.2099886,6.7589364,9.2220745,11.641827,12.375208,9.819635,5.3688226,3.8347428,0.13340095,0.90615934,-1.9436013,-1.194576,-1.4698724,-1.6455123,-2.035589,-0.08515342,Hate
-328.7863,120.972275,-28.080675,18.766842,-19.197758,-3.7373488,-1.1088473,-23.374868,-2.5904806,-9.212038,-13.007887,-2.4246871,-4.2539105,2.4225528,-5.596744,-2.9040208,-3.126055,-10.65481,-3.0110083,-4.8940463,-6.640792,-2.8932643,1.0875432,3.9860368,13.321888,13.699468,13.837567,13.048158,6.5577064,2.6299994,0.8859665,3.5979784,2.829795,4.6888347,1.2861562,-2.179738,-0.86201143,1.0463688,-0.4726186,-2.4157786,Hate
-328.7863,120.972275,-28.080675,18.766842,-19.197758,-3.7373488,-1.1088473,-23.374868,-2.5904806,-9.212038,-13.007887,-2.4246871,-4.2539105,2.4225528,-5.596744,-2.9040208,-3.126055,-10.65481,-3.0110083,-4.8940463,-6.640792,-2.8932643,1.0875432,3.9860368,13.321888,13.699468,13.837567,13.048158,6.5577064,2.6299994,0.8859665,3.5979784,2.829795,4.6888347,1.2861562,-2.179738,-0.86201143,1.0463688,-0.4726186,-2.4157786,Hate
-328.7863,120.972275,-28.080675,18.766842,-19.197758,-3.7373488,-1.1088473,-23.374868,-2.5904806,-9.212038,-13.007887,-2.4246871,-4.2539105,2.4225528,-5.596744,-2.9040208,-3.126055,-10.65481,-3.0110083,-4.8940463,-6.640792,-2.8932643,1.0875432,3.9860368,13.321888,13.699468,13.837567,13.048158,6.5577064,2.6299994,0.8859665,3.5979784,2.829795,4.6888347,1.2861562,-2.179738,-0.86201143,1.0463688,-0.4726186,-2.4157786,Hate
-328.7863,120.972275,-28.080675,18.766842,-19.197758,-3.7373488,-1.1088473,-23.374868,-2.5904806,-9.212038,-13.007887,-2.4246871,-4.2539105,2.4225528,-5.596744,-2.9040208,-3.126055,-10.65481,-3.0110083,-4.8940463,-6.640792,-2.8932643,1.0875432,3.9860368,13.321888,13.699468,13.837567,13.048158,6.5577064,2.6299994,0.8859665,3.5979784,2.829795,4.6888347,1.2861562,-2.179738,-0.86201143,1.0463688,-0.4726186,-2.4157786,Hate
-356.42084,117.35088,-12.176113,24.883533,-27.293869,-0.48853606,2.459084,-20.781807,-10.550458,-8.50482,-13.209367,-2.2780554,-4.537821,-0.38127512,-6.3149347,-5.3305497,-2.6664376,-8.7120075,-2.9530897,-5.0903387,-3.2366362,2.7866874,9.447091,8.488388,16.374802,11.772085,7.109077,4.8209968,1.7053732,3.8546994,-0.20441951,1.4351128,-1.0322111,-0.48835894,-1.7087353,-0.72376186,-1.454449,-1.6909307,-1.4206518,-1.4025202,Hate
